method,T,min_eig,condition_number,segment_coverage,err_B,err_D,train_nll,test_nll,train_time,seed
white_noise,200,66.60445351968433,1.3045945122473983,0.47972712340409884,0.03430464818229857,0.03799076390672239,-0.04929169094179349,0.08908927617316564,1.9597625732421875,2
multi_sine,200,51.27272299946185,1.9851420589168731,0.4149060906917127,0.02002298714337955,0.17663549009434124,0.1372717588173428,0.2241762471034991,1.980788230895996,2
piecewise_gaussian,200,86.39544976340952,1.3149366841374204,0.46329300047795197,0.029501945100141105,0.10539450022524569,0.02958346559251064,0.12633378233138712,2.0193581581115723,2
sphere_random_walk,200,71.72982187220872,1.7882405222772475,1.5048495005218012,0.02074596955063608,0.1020391854717152,0.049373619466777825,0.15218215590008688,2.0182409286499023,2
gpe,500,241.80201129406962,1.0678074070765862,0.185038404252406,0.023162705233551014,0.16609278235856278,0.08861989227034588,0.16529584281590914,2.894714832305908,2
white_noise,500,183.4697268762792,1.1219046938687356,0.3495808618737641,0.03141627304907122,0.06483388209200093,0.11331490458969073,0.07825500692437887,2.241253614425659,2
multi_sine,500,161.56736710116132,1.435546988688762,0.30703858828595687,0.01581480316514281,0.07379719049086005,0.0029979250705462475,0.10143086943175011,2.2967827320098877,2
piecewise_gaussian,500,210.01701002948363,1.3807594914796084,0.21781797885135762,0.02225705592583584,0.05102939072619021,0.0697379143587822,0.0965206619975002,2.2758214473724365,2
sphere_random_walk,500,234.9538923694836,1.128077066344569,0.33512998996065413,0.01922069632756941,0.18007709631383018,0.1300032881197475,0.1333858671308771,2.2313504219055176,2
gpe,1000,445.1365188437635,1.2465017756740364,0.10436379862786728,0.008041148766131928,0.09142128114060906,0.04390579017733119,0.09357219474686804,2.7850327491760254,2
white_noise,1000,363.1521204586123,1.1648888231606216,0.1636488418006249,0.017505234579995477,0.03673834724226736,0.018772904499773115,0.08713532503036753,2.7913928031921387,2
multi_sine,1000,350.1546526052941,1.2605741460177304,0.13403508209672815,0.01256983433236068,0.11222989228173529,0.10350713577650282,0.1198363653807863,2.7914111614227295,2
piecewise_gaussian,1000,449.9184187593491,1.2226251211439074,0.17898418227164492,0.010897552310637614,0.04394952166871785,0.018446289003796055,0.08042166730095028,2.803257465362549,2
sphere_random_walk,1000,478.1594720726678,1.0913524428685057,0.3322661321755928,0.010922093768222573,0.18189203535107842,0.13047278169512103,0.1540402778920899,3.4944844245910645,2
gpe,200,79.87263753075369,1.503986373591869,0.3862603371517767,0.025102808294801365,0.21785383488813245,0.10965877470253449,0.4012848130453791,1.9920263290405273,3
white_noise,200,72.1891379180032,1.1363786210420734,0.5881795424413456,0.027553499946079404,0.03909243154534318,-0.001428217469503682,0.137230326397935,1.9490318298339844,3
